,Pyruvic acid,Lactate,Citric acid,trans-Aconitate,Oxoglutaric acid,Succinic acid,Fumaric acid,Malic acid,Itaconic acid,GABA,Glycerylphosphorylethanolamine,Aspartic Acid,Glutamate,Proline,Phenylalanine,Serine,Tyrosine,Threonine,Tryptophan,Glutamine,Glycine,Isoleucine,Valine,Leucine,Alanine,Histidine,Arginine,Ornithine,Citrulline,N2-Acetyl-L-ornithine,Asparagine,Nicotinamide adenine dinucleotide (NAD),Adenine,Inosine,Adenosine5'-monophosphate,cAMP,Ergothioneine,L-2-Aminoadipic acid,Diaminopimelic acid,D-Alanyl-D-alanine,Lysine
119,34411775.64,451753.5,354104409.1,12486314.28,1649936.64,724221.3,882656.28,6497946.84,4036632.6,107687.58,7432911.42,24723269.34,144391613.5,141199.74,479515.74,2082697.98,2153170.8,2613832.32,174029.46,78964079.7,23979.78,1564784.1,2667904.8,1564784.1,3615748.62,127042.74,120356.28,46064.7,3027739.44,584959.98,155327.7,156627.24,340196.34,274587.72,374202.18,71897.8854,68000993.28,15736746.96,1608685.32,2596328.46,5055885.78
119,55507479.88,619929.5963,519500415.5,21488653.04,1955138.292,830210.3106,1270375.994,6569443.23,6934697.888,77729.34783,7272953.012,20191164.78,193145006.2,149382.3913,927825.7453,2020715.031,2068141.77,2543243.385,196279.2857,79032416.37,89250.65217,1668357.019,3399776.832,1668357.019,3734108.851,111425.2174,111492.8571,37032.76398,2734134.037,554634.6894,134558.0124,107231.5528,418870.4348,280998.0745,340701.4286,77232.87205,46770498.26,23833779.6,1557991.491,2401357.733,4072465.435
119,42233192.19,490632.1698,411639465.8,14204044.46,1341139.458,795663.467,597417.5236,4147959.906,4486474.528,42849.41038,6302227.925,10214468.99,140627920.8,110612.2642,691643.4198,1545583.797,1451058.255,1226109.552,154120.8962,55451965.61,23586.43868,1100660.519,2532661.274,1100660.519,2369662.288,70005.91981,71957.90094,17576.39151,1577029.528,427030.1179,122375.5189,72445.89623,266068.7264,139703.6321,245401.6981,58431.09976,25475691.01,19448144.5,1006691.462,1623389.08,2529262.429
119,49901970.94,691999.6875,487888726.9,16412663.44,1875390,1301190,1249503.75,8039934.375,5320187.813,93596.25,10427010,20922226.88,172004487.2,165660,841974.375,2550394.688,2141689.688,2813683.125,236331.5625,87272068.13,39682.5,1684588.125,3596979.375,1684588.125,3884894.063,117108.75,134753.4375,46870.3125,2685632.813,640880.625,157719.375,175941.5625,434053.125,263804.0625,340508.4375,87545.59688,54152040.94,22331213.44,1727343.75,2901308.438,4980349.688
119,28127023.43,1704371.804,210759859.6,6240151.5,8059468.043,1795098.13,1584700.174,14660062.76,2219926.5,277695,5831981.674,33069670.89,155761421.9,187844.6087,158204.8696,2605598.217,1663344.913,3643012.761,130143.3913,85190733.91,41003.21739,1494723.522,2402736.457,1494723.522,2568075.065,169473.6522,142643.2174,56493.84783,3065361.391,2579888.348,215582.5435,155135.1522,311485.5652,444075.2609,293753.8043,34825.90435,94412251.76,10798105.76,3230913.065,3444633.261,4180418.478
119,31553476.48,43243998.95,249266284.8,9564285.789,19489040.13,1494067.401,1750794.375,12223439.9,3176739.572,47942.26974,5278043.882,19104367.6,203058450.6,364074.6711,92887.40132,3233828.487,698345.1316,2402319.671,61112.96053,58849404.77,109926.9079,1035553.026,434167.1053,1035553.026,790038.4539,164973.9474,140722.2039,124602.1382,0,177667746.9,157558.7171,0,979956.7105,322341.6118,0,14285.72171,45915810.3,4441066.184,53205710.03,2336024.408,2474848.026
173,30412181.06,508865.2262,426368647.2,18445385.09,1763761.154,1164737.24,2041932.489,21507232.6,5603348.484,314257.8054,947175.4072,33901038.12,209565821.3,158800.181,127715.2262,2588830.588,1089763.778,3338302.398,243218.2127,77453835.61,38796.65158,2033325.611,2436838.71,2033325.611,6225523.914,239087.2398,178822.6697,95447.64706,6509936.878,3063186.176,115034.8643,241082.9186,372280.3167,112291.8326,560120.4977,98935.97851,60213167.04,14326509.5,3158600.973,6211611.652,4751021.199
173,34593552.45,921624.1755,463698536.3,16498707.21,2594851.436,1906531.995,3220022.394,30331758.67,5409848.856,429054.4149,1327769.043,36986678.22,231339224.2,193220.266,20495.98404,3073856.968,1245051.383,3774640.053,241481.8883,91546408.48,56795.98404,2253940.372,2736740.027,2253940.372,7373273.378,249214.9468,195228.3511,114933.9096,6609438.351,3368591.729,138924.734,286943.7766,351965.1862,138654.4149,674282.1543,105711.5856,56612340.8,16974922.66,3907849.468,6332708.777,5449006.516
173,31967479.5,425906.25,503157121.5,22634609.25,1117140.75,905775.75,1667589,14110651.5,6960995.25,248985,821427.75,30868851.75,192940291.5,181170,133419,2421012,1089132,3448417.5,276507,71895045.75,46530,1975099.5,2727458.25,1975099.5,5537532,232980,190509,86616.75,6501651.75,2805759,122793,212049.75,388063.5,112431,548146.5,110398.9425,61457211.75,18825633.75,2966988.75,6049362,4874289.75
173,29241924.91,1818630,478265582.8,21398603.62,1901972.172,976929.9095,1642271.131,17137878.8,6598321.629,275181.9231,778922.4434,33108794.73,190326591.4,168515.7692,137102.3077,2561424.91,1254657.76,3341497.127,269326.2896,74533517.04,134958.8009,1857771.584,2560743.258,1857771.584,5913631.357,216789.8416,195962.5113,103364.6606,6390245.43,2922067.873,152952.7602,270607.4661,495692.1041,109614.5023,670211.3348,107099.7007,73044962.44,16959056.13,3764695.995,6159091.629,5258063.213
173,26779612.23,334151.0526,437257168.5,16288412.55,1301479.919,891525.0607,1483780.87,13069227.15,5281833.704,163482.2672,797946.0121,23864773.66,162661696.2,139196.5385,117710.4656,2018610.668,1106775.243,2891493.401,248713.7854,63155923.06,34102.89474,1529817.206,2197046.478,1529817.206,5010024.595,171822.4494,163923.1579,73841.84211,5125964.15,2262482.004,94894.37247,210878.0162,318594.9595,97642.59109,589345.9312,113618.1917,68380837.77,14436723.1,3275766.377,5878300.02,5216471.66
173,20225101.88,18766199.38,307849843.1,12506216.25,3520103.125,1326930,1471366.875,13553959.38,3904931.25,260177.5,655716.875,21433390,150026256.9,229212.5,48640.625,2539460,762801.875,3591245.625,133766.875,51355610.63,49170,1154725,1369348.75,1154725,2090804.375,231240.625,141260.625,176914.375,437525,84236686.88,120546.25,76539.375,339418.75,164670,319591.25,51606.98125,61906810.63,13469321.25,8522030,5644615.625,4131881.875
212,47478054.3,36229225.61,643967413.2,25293362.37,5631446.14,784462.1053,871062.0175,1141316.579,8144966.404,54566.75439,8579536.842,20841517.63,160385255.9,231322.2807,108634.6491,4051578.86,514366.7544,1701291.842,72079.91228,39251848.07,280242.3684,674914.6491,1441099.386,674914.6491,2785812.719,103041.0526,115310.8772,783570.5263,1243858.772,10714910.88,282269.6491,459810.614,1445790.789,49153.59649,558011.6667,14467.99123,15136378.25,2311662.544,5272383.947,2809853.509,3403814.912
212,38030453.86,58532592.16,250143159.2,10426353.56,15064539.12,2543167.047,2235195.97,16334280.26,3309003.168,525465.9698,5475745.474,28921422.61,141340363.4,202482.0259,95600.43103,2126006.509,735998.1466,3158616.336,110316.0129,56773896.27,49490.0431,1041810,1172842.047,1041810,2356636.681,106060.1509,85727.4569,68375.43103,298692.6724,44630106.79,132056.8966,68203.31897,510147.9957,329031.3362,230129.4828,24721.47349,56611751.06,12051404.42,9298894.332,2266066.616,2906910.259
212,51136960.49,1063699.098,672197389.7,25387684.43,2319272.459,1137757.049,786787.623,5399515.902,7893246.557,167674.2623,10582590.57,29121070,191659527,190227.8689,279043.8525,2853794.918,1350429.426,4380805,371787.377,87838968.11,43411.22951,1429059.59,2973436.148,1429059.59,4017100.82,128815.4098,120176.8033,33027.04918,2035884.508,527619.5082,183681.9672,262361.7213,547872.1311,243676.1475,512157.2951,86175.40656,64432063.61,16145039.92,2233203.77,3040214.262,4979755
212,24688729.37,84932364.94,444970284.9,15305117.14,19550474.74,2851976.914,1844911.2,11411195.4,4979665.114,341323.7143,5649420.857,43111404.6,244394749,297774.0857,70878.34286,4683291.171,935067.2571,3935158.543,127081.1143,83865393.86,84765.68571,1825060.286,1225954.714,1825060.286,2299366.457,203165.9143,203933.4,139630.5429,5060240.743,62562396.6,196331.1429,155249.9143,2255391.6,615793.2,516113.4,20002.64829,99241710.86,19658347.97,40354492.2,3307106.314,4079705.143
212,52638140.56,1703489.663,462837531.7,18272410.53,2434282.079,2009082.64,1418463.287,8139602.022,5492740.618,186843.0337,6460859.579,27721300.53,188627770.1,182387.1067,220981.3483,2362875.084,1056686.882,3007291.854,201067.3315,82992017.02,68500.95506,1295930.393,1874252.612,1295930.393,2832817.331,98693.17416,71590.53371,36300,2231104.045,407263.5674,169600.5337,128610.0843,345094.7191,248879.3258,365538.9607,67838.78596,51165471.99,12155462.87,1348055.562,2274164.41,3229680.337
212,64091481.67,4068696.176,799478044.8,32725197.35,5541491.569,1370408.039,1601648.529,7173544.314,10162742.55,224799.0196,8740458.725,42226829.12,245863079.2,231798.0392,285749.8039,3756029.804,1523615.392,4880001.176,333414.3137,107357783.8,68293.82353,1969963.039,2799192.647,1969963.039,3741557.255,150490.7843,139671.9608,80239.60784,2959434.608,651371.4706,316320.098,191096.9608,1243856.275,337329.0196,482493.4314,72505.33529,72964221.86,19760794.71,1919487.059,3140270.294,4280090.294
