"","counts","pathways","strain","order_strain","lineage","pathways_superfamily"
"fattyacid&beta;-oxidationI",15,"fattyacid&beta;-oxidationI","119",5,"lin2","fatty acid and lipid degradation"
"palmitatebiosynthesisII(bacteriaandplants)",11,"palmitatebiosynthesisII(bacteriaandplants)","119",5,"lin2","fatty acid and lipid biosynthesis"
"stearatebiosynthesisII(bacteriaandplants)",11,"stearatebiosynthesisII(bacteriaandplants)","119",5,"lin2","fatty acid and lipid biosynthesis"
"2-methylcitratecycleI",8,"2-methylcitratecycleI","119",5,"lin2","2-methylcitrate cycle I"
"octaneoxidation",8,"octaneoxidation","119",5,"lin2","octaneoxidation"
"adenosylcobalaminbiosynthesisII(aerobic)",6,"adenosylcobalaminbiosynthesisII(aerobic)","119",5,"lin2","cobalamin biosynthesis"
"tRNAcharging",6,"tRNAcharging","119",5,"lin2","tRNA charging"
"96",16,"cholesteroldegradation","119",5,"lin2","cholesterol degradation"
"93",8,"CDP-diacylglycerolbiosynthesis","119",5,"lin2","fatty acid and lipid biosynthesis"
"93.1",6,"serineandglycinebiosynthesis","119",5,"lin2","serine and glycine biosynthesis"
"89",10,"pyrimidinedeoxyribonucleotides_denovo_biosynthesis","119",5,"lin2","nucleoside and nucleotide biosynthesis"
"87",6,"trehalosebiosynthesis","119",5,"lin2","trehalose biosynthesis"
"86",37,"mycolatebiosynthesis","119",5,"lin2","fatty acid and lipid biosynthesis"
"85",6,"superpathwayofguanosinenucleotides_denovo_biosynthesis","119",5,"lin2","nucleoside and nucleotide biosynthesis"
"82",8,"phosphatidylglycerolbiosynthesis","119",5,"lin2","fatty acid and lipid biosynthesis"
"80",6,"L-tryptophanbiosynthesis","119",5,"lin2","L-tryptophan biosynthesis"
"fattyacid&beta;-oxidationI1",6,"fattyacid&beta;-oxidationI","173",13,"lin4","fatty acid and lipid degradation"
"phenolphthiocerolbiosynthesis1",6,"phenolphthiocerolbiosynthesis","173",13,"lin4","fatty acid and lipid biosynthesis"
"phthiocerolbiosynthesis1",6,"phthiocerolbiosynthesis","173",13,"lin4","fatty acid and lipid biosynthesis"
"961",14,"cholesteroldegradation","173",13,"lin4","cholesterol degradation"
"941",6,"aminoimidazoleribonucleotidebiosynthesis","173",13,"lin4","purine nucleotide biosynthesis"
"921",8,"CDP-diacylglycerolbiosynthesis","173",13,"lin4","fatty acid and lipid biosynthesis"
"92.1",6,"serineandglycinebiosynthesis","173",13,"lin4","serine and glycine biosynthesis"
"90",6,"isoleucinebiosynthesis","173",13,"lin4","isoleucine biosynthesis"
"851",8,"pyrimidinedeoxyribonucleotides_denovo_biosynthesis","173",13,"lin4","nucleoside and nucleotide biosynthesis"
"841",7,"mycolatebiosynthesis","173",13,"lin4","fatty acid and lipid biosynthesis"
"831",6,"superpathwayofguanosinenucleotides_denovo_biosynthesis","173",13,"lin4","nucleoside and nucleotide biosynthesis"
"811",8,"phosphatidylglycerolbiosynthesis","173",13,"lin4","fatty acid and lipid biosynthesis"
"fattyacid&beta;-oxidationI2",16,"fattyacid&beta;-oxidationI","212",6,"lin2","fatty acid and lipid degradation"
"palmitatebiosynthesisII(bacteriaandplants)2",11,"palmitatebiosynthesisII(bacteriaandplants)","212",6,"lin2","fatty acid and lipid biosynthesis"
"stearatebiosynthesisII(bacteriaandplants)2",11,"stearatebiosynthesisII(bacteriaandplants)","212",6,"lin2","fatty acid and lipid biosynthesis"
"2-methylcitratecycleI2",9,"2-methylcitratecycleI","212",6,"lin2","2-methylcitrate cycle I"
"octaneoxidation2",9,"octaneoxidation","212",6,"lin2","octaneoxidation"
"tRNAcharging2",7,"tRNAcharging","212",6,"lin2","tRNA charging"
"adenosylcobalaminbiosynthesisII(aerobic)2",6,"adenosylcobalaminbiosynthesisII(aerobic)","212",6,"lin2","cobalamin biosynthesis"
"androstenedionedegradation2",6,"androstenedionedegradation","212",6,"lin2","fatty acid and lipid degradation"
"L-serinebiosynthesisI2",6,"L-serinebiosynthesisI","212",6,"lin2","L-serine biosynthesis I"
