Compound,119_1(raw),119_2(raw),119_3(raw),119_4(raw),119_5(raw),119_6(raw),173_1(raw),173_2(raw),173_3(raw),173_4(raw),173_5(raw),173_6(raw),212_1(raw),212_2(raw),212_3(raw),212_4(raw),212_5(raw),212_6(raw),232_1(raw),232_2(raw),232_3(raw),232_4(raw),232_5(raw),232_6(raw),281_1(raw),281_2(raw),281_3(raw),281_4(raw),281_5(raw),281_6(raw),293_1(raw),293_2(raw),293_3(raw),293_4(raw),293_5(raw),293_6(raw),318_1(raw),318_2(raw),318_3(raw),318_4(raw),318_5(raw),318_6(raw),345_1(raw),345_2(raw),345_3(raw),345_4(raw),345_5(raw),345_6(raw),346_1(raw),346_2(raw),346_3(raw),346_4(raw),346_5(raw),346_6(raw),372_1(raw),372_2(raw),372_3(raw),372_4(raw),372_5(raw),372_6(raw),374_1(raw),374_2(raw),374_3(raw),374_4(raw),374_5(raw),374_6(raw),440_1(raw),440_2(raw),440_3(raw),440_4(raw),440_5(raw),440_6(raw),639_1(raw),639_2(raw),639_3(raw),639_4(raw),639_5(raw),639_6(raw),649_1(raw),649_2(raw),649_3(raw),649_4(raw),649_5(raw),H37Rv_1(raw),H37Rv_2(raw),H37Rv_3(raw),H37Rv_4(raw),H37Rv_5(raw),H37Rv_6(raw),Mass
147.0531@9.7690935,2940522.318,1611565.29,2094850.848,1755969.358,2738203.855,1574407.951,3271392.245,2716320.946,3193555.146,3074643.556,3376608.662,3476639.407,1520014.854,2447657.767,2061382.976,2501474.303,1920583.314,1851584.259,1152715.623,1410128.592,1636955.681,1760404.505,1665300.629,1617982.159,355783.6534,3293899.641,1021156.264,943749.9747,997516.687,1602106.978,5078601.038,5588954.203,15791589.39,3808983.506,7697052.179,10449334.15,1977260.955,2507617.501,2735202.574,4087579.034,3022221.807,3352651.775,7822448.751,9166891.056,6060927.749,6794350.726,6295352.202,6768990.533,1576319.898,4242114.1,2030364.87,2046854.907,2459087.6,1736992.001,2607393.994,2639352.658,3524918.438,3976711.7,2059761.22,2899025.836,2386365.042,1835236.635,2102679.214,1487724.037,1650319.907,2129717.316,3765785.174,3294184.507,3873069.861,2555070.731,2541911.302,5366860.33,6985553.495,2327181.657,5610028.108,3724558.934,4752460.257,4563431.711,2963346.755,6003337.14,4892485.894,6637530.5,7272381.436,8140599.376,6396145.816,5562555.587,6261268.428,4476051.205,4335793.683,147.0531
266.1553@0.6140001,17027.41049,13905.6986,63824.73184,6399.515154,24322.4683,44623.93363,9355.788399,6827.352052,8207.757561,26854.11782,7652.781252,11562.18178,174088.0809,362816.0428,20457.68589,52139.87615,23034.47485,44251.05638,10873.2794,9615.457281,20126.76585,37389.11737,33443.43803,11151.39885,2669.397237,5098.478792,16751.62422,10587.01985,4813.487568,8469.74657,30231.88934,16703.9041,46458.6893,7287.345477,31477.03141,19789.2661,12648.83414,18371.13337,9443.127236,19957.49253,32793.22302,16501.79996,164673.1403,40038.88762,48919.78192,2374741.704,20888.82205,73501.77741,56267.5958,713142.7184,184340.6482,1004331.006,131001.0742,140988.5091,27425.56687,10859.27605,48305.11015,15360.90252,10640.41877,35110.96703,18473.02813,4301.986217,11740.99832,4097.705239,3358.175767,19490.59174,249380.6552,40492.68427,1100384.561,2260169.306,25915.93508,49708.92059,443927.9154,16768.37461,32132.71631,279261.7866,58088.48883,18217.92785,87742.76945,1437971.982,114502.2791,173047.9408,53027.96368,34648.31518,30081.93063,17175.25342,9340.207719,15809.57903,9719.255079,266.1553
146.0691@10.610104,1788056.476,709909.3183,860033.5426,933475.6851,1924078.114,911167.7216,1348592.04,1165634.697,1191501.452,1254648.167,1309926.461,1393454.25,530252.4395,1783825.241,1035781.812,1438822.331,921305.4403,975462.1676,758342.9101,710070.5908,796821.9507,951292.9854,861325.576,654093.9338,228337.6786,1418696.784,321577.2602,418722.9845,571836.6901,595283.5216,1835877.011,2083253.22,6122303.584,1297091.058,3099085.81,4631866.303,612116.5879,1629888.353,770786.6697,1241342.323,975261.1232,1046318.634,2682796.484,4622054.596,3300302.467,5169889.028,2914825.251,3526482.449,571877.0071,2047334.912,847912.9989,675483.2249,1661994.791,736589.2851,1465499.175,2621525.081,1785215.412,2412891.995,1485976.92,1538654.246,1016773.357,634158.8169,611523.8662,878118.7354,548197.1591,1102031.022,1335558.391,1488773.295,1594658.173,798521.9461,956535.1825,2392893.291,2694296.549,1061462.796,2319867.772,1466730.159,1527264.275,2415602.949,2190482.915,3302262.432,3285120.033,2058274.006,2907961.929,6805921.92,4191663.954,3944771.287,4983727.603,3304241.581,2717284.192,146.0691
142.0242@13.141153,2686583.474,1750865.505,1927419.555,1578593.067,1887393.685,1196045.45,2439992.439,1621750.767,2497823.753,2070594.167,2312781.978,2257739.338,1553757.629,1827813.847,1690895.696,1507716.119,1494824.38,1754125.366,1078195.335,1431945.54,1478948.056,2138474.932,1373820.915,1501559.451,814440.3225,2730365.346,1221362.526,1065802.939,976239.1334,1546539.644,3406467.751,3526857.735,13405193,3243869.2,5015095.2,5937601.687,1354963.135,2361608.648,2080713.592,2733727.771,1844133.459,2306813.086,4492900.408,6904878.569,3838964.934,5290490.681,4000472.064,5258801.867,1539516.167,3808493.85,1931581.452,1790375.812,2228902.311,1869345.552,2194805.158,2147424.578,3557626.537,3335317.348,1659577.88,3074066.878,2214641.643,1369921.011,1706817.741,1154187.085,1710274.017,1746243.915,2762462.504,2065960.316,2271237.007,2475146.66,1662561.425,2981803.313,4598953.436,1469603.83,3958169.108,1960603.662,4228004.354,3499919.842,2743493.52,5078487.975,3958173.393,5881259.142,6102675.593,5637338.477,3489926.401,3341800.718,3231871.141,2941383.596,3276388.137,142.0242
90.0316@1.1590008,17214.87605,11017.72229,14161.13282,9989.042427,59256.87048,655130.2134,17140.833,20910.57186,12077.81816,58252.43397,14579.26003,867414.9791,691647.7981,2046951.971,23340.31398,1658321.023,35944.62357,58391.37544,1062953.5,21331.85671,17127.49312,1409832.481,29153.14601,22641.74426,393280.326,12502.08596,49529.20544,18187.58515,959529.9104,10093.97247,13064.6678,11278.21265,40260.87276,9581.03474,18688.25455,18335.37188,18245.95699,1132254.272,12533.77185,19787.01815,16362.95311,9974.10907,122138.8428,32992.63142,19763.39508,6051631.44,49926.51243,182121.9245,23166.87391,27675.19563,13367.93938,14840.00552,1499572.064,16081.45455,11545.54928,3366148.408,22750.81541,40419.63317,1361596.744,123487.9562,10202.84299,10678.71072,8609.395019,1069477.014,5365.612136,204140.1125,27382.88492,2026168.766,31168.68101,16277.77626,26755.0304,66184.82636,37155.62757,13404.51787,27306.40225,1167045.568,27977.19896,4737269.819,1820358.274,171263.9904,19993.94376,41832.22805,16580.63032,46944.53337,32911.09758,39956.38892,26369.35318,30597.98342,49839.21313,90.0316
278.0937@8.90609,363125.0693,109614.9205,90752.93686,140279.3697,507946.8261,19841.06655,312512.2634,250811.0584,269145.5753,304574.6497,309580.4093,323470.9808,33304.29916,402855.5357,450572.3144,315538.1137,379436.6653,386643.8148,114168.1494,160050.8399,173486.281,50808.49809,224950.832,163993.8957,25121.1294,658069.7399,106040.5861,157692.3478,118307.5694,291783.7856,334540.7034,469586.8444,1324822.647,214405.9147,656044.2744,1020344.343,89250.50507,47303.30146,105728.3698,180148.9931,181940.8313,157181.9451,749748.7594,1247475.308,851222.6366,497172.3633,584024.4935,620698.0099,364457.8592,1057839.567,514004.1205,435569.8687,181273.2642,440366.9335,412915.4468,326363.2169,539315.2833,685843.3225,229038.0395,443107.4501,418599.4056,229365.8728,186143.4111,154443.7131,185378.8975,143584.8992,226013.5885,147924.6115,315157.0173,108569.4459,145919.8452,540320.4345,485358.0267,224793.8726,506147.6041,419797.5515,368680.0278,97675.97312,137904.9329,424706.3263,470470.4718,647500.7221,218926.2668,1809137.904,1479232.948,1406779.454,1623379.232,879224.2805,902812.2441,278.0937
174.0164@0.8770007,609886.9153,401753.1899,465035.3752,382217.5031,326422.3359,1431320.931,745195.4378,515641.0127,869846.4227,837900.1278,849729.2622,2142763.048,618939.5403,1150335.758,599534.6165,949020.8561,425176.977,549258.032,814296.4906,350693.564,587743.0305,1209499.143,472981.2453,561569.1497,238812.289,1030475.408,410109.1036,210595.2779,553739.6323,458419.2845,1228025.729,1178024.787,4644191.86,1280252.179,2049124.954,1977330.124,363646.4858,1648027.202,605917.1282,991303.1388,452456.9102,916654.198,1161011.775,2908319.486,1935277.333,4661396.255,2101452.202,2545945.76,465053.1775,1393426.647,567476.7993,623243.1345,1291232.354,489493.8183,1169080.44,1621174.951,1409323.161,1484891.353,1010166.566,1139781.209,788103.112,534573.0568,873337.3333,371622.5012,588268.044,976172.4301,1005408.5,919672.6937,475421.5866,669607.1063,311011.6507,665882.2459,2053496.972,664298.0697,1101410.426,508833.8311,1778021.251,1521355.345,2550613.29,3818479.052,1382109.067,3004739.173,3555889.494,528798.7156,425625.0636,513090.5408,445715.0658,389722.5425,323149.9741,174.0164
298.1603@0.62500066,315115.7029,224539.5588,333020.5804,276214.4971,118637.5481,50595.90054,318947.5642,204980.3874,473921.2113,335482.3824,468826.5484,257235.0537,243058.6462,129247.3913,377396.2105,76031.57042,175311.66,312603.5318,179217.4721,181185.209,372788.3638,795055.3038,291297.675,258186.3427,69529.81355,552482.5288,217366.6047,56808.87996,74717.61929,281117.5266,972207.7365,477109.9981,2065298.947,510508.4363,1802730.466,1638633.238,188311.5429,642828.7543,359049.0779,528611.9991,285766.3847,570617.4715,2149848.758,2339374.603,1306902.115,1912563.146,1830039.317,1931442.051,253252.6929,587206.2554,340194.5389,381716.4351,545902.0655,219135.9031,937879.701,498318.794,1028430.76,1084932.241,234347.2571,840146.0737,405281.7031,295381.3768,519716.878,29819.78461,365308.9828,285724.8794,429998.2436,159200.3569,143400.9924,202790.2082,60253.46799,304592.6927,662399.3128,212885.6192,684799.7146,528994.8988,646832.1777,587162.4238,411050.7019,1524251.021,836222.8098,1604998.148,2339152.971,575781.4429,289142.984,401057.8887,246700.1451,316142.6154,121483.5921,298.1603
260.1372@8.892096,251174.9314,73617.00593,64146.9952,102392.3394,344068.2146,23198.80097,233309.1513,194625.161,221700.242,237192.7849,263248.2447,228054.6902,15463.29917,202484.1029,192922.33,193665.7029,145212.5956,154902.5114,175787.5646,240289.8452,266766.3692,52912.1058,312904.3748,265308.9862,14940.8859,359259.3854,45981.78616,78937.73508,70873.05734,138794.744,204611.9956,287355.3086,872902.0272,119665.6136,339959.4248,568270.1813,128748.6394,79751.20565,169397.315,276659.3202,253469.0019,234735.5813,226308.6774,548242.8945,370909.6438,198591.0478,236689.9759,257286.708,249081.0466,799317.8392,364189.8116,264718.4339,127133.9255,290024.3395,412454.108,328020.8136,641445.0794,836078.0369,244111.8963,466030.0232,123729.2498,65855.64449,63360.6676,79034.36152,53622.63651,69813.31572,84835.95174,55829.39501,103259.4954,44057.41528,53545.35887,174716.2626,295434.3726,122693.4542,267869.2346,185986.6684,170275.2769,65646.4111,76955.63009,577467.0257,233818.4722,1003415.396,115965.7213,388061.5761,277325.0517,259821.2227,314274.798,199802.8625,172371.6559,260.1372
155.0399@7.765089,4567.355377,2397.347654,2351.389537,9263.612124,4768.159776,4570.719533,3679.680429,2975.164732,3646.303024,10194.61429,4221.454537,5035.199984,1619.553718,4739.063344,3849.352055,0.096418733,3326.491448,3476.429766,0.138842976,0.159779614,0.17630854,0.229201102,0.17630854,0.190633608,0.106887052,6564.365845,0.147658402,0.146556474,0.132231404,2855.438021,172184.1707,162212.6245,1075612.821,158996.6286,434464.8694,1051518.085,36085.02308,1251674.474,54709.51218,140657.8113,76926.61681,80217.70892,14811.57023,22134.22811,15348.6083,16906.24792,15931.10745,13050.12893,0.186225896,0.42754821,0.23030303,0.199449036,0.247933884,0.193939394,5588.861693,7972.244638,7925.294759,10268.24466,5726.589554,6616.09368,13185.91407,2037.349858,1977.976854,2695.299176,1728.606065,40248.70084,12951.4667,12448.0066,13784.6799,9139.53716,10053.70803,18347.00383,234613.674,206535.4044,262260.8269,88546.30169,386347.1964,41652.04137,3293.042415,9007.819849,17111.79666,10629.82698,0.278787879,986893.2008,335318.2105,300444.848,152474.1797,207332.5175,74717.83788,155.0399
