Compound,119_1(raw),119_2(raw),119_3(raw),119_4(raw),119_5(raw),119_6(raw),173_1(raw),173_2(raw),173_3(raw),173_4(raw),173_5(raw),173_6(raw),212_1(raw),212_2(raw),212_3(raw),212_4(raw),212_5(raw),212_6(raw),232_1(raw),232_2(raw),232_3(raw),232_4(raw),232_5(raw),232_6(raw),281_1(raw),281_2(raw),281_3(raw),281_4(raw),281_5(raw),281_6(raw),293_1(raw),293_2(raw),293_3(raw),293_4(raw),293_5(raw),293_6(raw),318_1(raw),318_2(raw),318_3(raw),318_4(raw),318_5(raw),318_6(raw),345_1(raw),345_2(raw),345_3(raw),345_4(raw),345_5(raw),345_6(raw),346_1(raw),346_2(raw),346_3(raw),346_4(raw),346_5(raw),346_6(raw),372_1(raw),372_2(raw),372_3(raw),372_4(raw),372_5(raw),372_6(raw),374_1(raw),374_2(raw),374_3(raw),374_4(raw),374_5(raw),374_6(raw),440_1(raw),440_2(raw),440_3(raw),440_4(raw),440_5(raw),440_6(raw),639_1(raw),639_2(raw),639_3(raw),639_4(raw),639_5(raw),639_6(raw),649_1(raw),649_2(raw),649_3(raw),649_4(raw),649_5(raw),649_6(raw),H37Rv_1(raw),H37Rv_2(raw),H37Rv_3(raw),H37Rv_4(raw),H37Rv_5(raw),H37Rv_6(raw),Mass
147.0531@9.810989,6853191.744,4013951.224,5385233.124,4393509.238,6261235.632,3854890.821,6813886.102,5793880.318,6839919.018,6681259.802,7584653.345,7712156.485,3806522.934,5824614.732,4642015.696,4940150.314,4446506.281,4007034.78,2930424.572,3511406.593,3975983.252,4853045.917,4063036.651,4053617.027,970308.6867,8074478.886,2901917.581,2719265.096,2742509.997,4239705.219,10981589.56,11154683.06,33544589.07,8629754.935,15402664.27,19407632.85,4346813.711,6158080.595,5624031.846,8468565.843,6112058.601,6998641.221,10198817.34,17784086.41,11859676.89,14015328.94,12210771.33,12937279.22,4283362.094,11118382.65,5414116.55,5050914.801,6104117.348,4505930.862,6282042.914,6108219.975,7748249.57,9262657.466,4855837.661,6918173.24,5437258.177,4262198.217,4733023.829,3708359.947,3967932.496,5195620.709,8223404.822,6996270.356,8255386.9,5893284.609,5590496.346,10459342.58,13723777.96,4646797.298,11073021.11,7097788.106,10064534.85,10344503.78,6677069.484,12875847.13,9912045.322,14398575.16,15980727.87,3658.812124,12400046.88,10057072.41,12864934,10709724.95,9674125.404,6791792.178,147.0531
199.0158@17.183989,2666384.576,1674102.657,2276433.346,1747849.504,2329827.26,1603541.536,2363789.204,1994974.374,2308744.238,2148572.708,2333032.167,2734889.301,1790793.213,2485596.606,1895592.438,1858188.957,1974752.98,1700690.685,1369331.353,1586575.776,1736880.309,2885012.946,1739102.855,1743412.592,1049622.513,2976522.045,1345399.571,1386379.691,1163795.033,1731259.209,3670086.106,3436319.919,11582309.87,3220731.573,5038074.03,2616977.396,1655885.441,2899160.865,1953736.416,2832255.506,2173388.984,2519918.031,4596447.928,5992703.12,3830281.357,5107153.662,3757252.225,4368244.998,1765006.955,4871353.475,2188719.852,1961717.892,2768095.038,1756424.922,2469318.08,2373573.008,3275172.675,3434851.483,1841192.756,2864252.58,2005094.35,1520578.008,657480.6066,1599274.878,1536708.259,2177159.829,3111435.766,2443772.944,2799820.158,2339928.023,2082678.848,3712856.504,4538784.534,1425052.822,3649466.342,2371685.832,3431794.09,4247780.203,2728891.726,3827907.705,3570016.118,5347380.681,5683061.919,5356061.58,4120538.533,3211255.427,3983987.725,3313854.744,3280666.213,2356786.116,199.0158
103.9851@13.140011,2152920.664,1422073.169,1920357.093,1515985.067,1753622.897,1139748.838,1841329.986,1485418.139,1965285.209,1761594.647,2175796.867,2094066.612,1567486.998,1707273.933,1569597.045,1378223.639,1398835.012,1327205.881,1025242.498,1150766.334,1419224.948,2190629.184,1275163.328,1374445.247,790689.4316,2592554.565,1155158.11,978292.7493,918025.8446,1444226.151,3387357.49,3123146.811,11822325.23,3300769.24,4879855.339,5538321.363,1281912.246,2402578.647,1656998.815,2591666.197,1640236.958,2217258.904,4900122.308,5859407.13,3852787.433,5335246.859,3934046.005,4523728.965,1470050.09,3626897.451,1866765.313,1727357.496,2210714.873,1461722.57,2410800.143,2035990.039,2656091.742,3063792.168,1576293.918,2455849.472,1754620.908,1351576.873,1729246.845,1070266.098,1337240.828,1661101.171,2629476.916,1971383.278,2140235.847,2050663.499,1567970.197,2780006.303,4479754.535,1434513.274,3219552.358,1797522.062,3697115.999,3361390.325,2279007.684,4764192.742,3123864.737,5154194.008,6366739.011,3233277.554,3120515.711,2361768.438,2910804.66,2400044.648,2547136.199,1691973.182,103.9851
325.3713@0.8450007,102281.5428,62862.82688,62178.1401,78626.71518,47907.54267,46876.12976,235206.5855,144810.2366,177283.3936,178391.6865,177349.2658,135319.2723,6405.10413,16101.95036,13338.43137,14548.33337,15570.24347,15852.73891,10428.91246,6492.484835,8672.9697,23452.20056,9049.035816,9063.960843,227007.2555,561427.7211,66041.47539,220286.7644,190564.4945,236831.8241,152459.6004,24149.02916,52829.64798,11105.45789,30158.44959,22561.98345,1429.839667,37584.36315,14974.73548,38446.04621,27183.67759,36293.34538,49607.43796,17986.32893,8484.948779,12200.33718,8196.341052,12829.41102,161088.9383,149484.1082,5265.648478,47721.67222,43921.23962,50799.03032,22607.3465,4837.804965,5112.572999,13186.81987,3616.176323,5247.146018,135621.6696,152234.0217,100533.9634,30559.36642,120409.5458,78102.00333,11952.90912,50384.59501,46815.89976,50558.34639,29862.0552,56665.11177,12044.54326,5819.680424,12008.2755,3910.609356,9523.995062,10441.23417,30118.29082,7519.596706,7230.961968,13853.21321,23373.29699,3643.478791,3523.791742,358510.1758,457603.1821,278653.4772,352448.958,210198.3904,325.3713
145.0491@17.073982,995667.2188,600726.9245,786336.2686,664666.279,772786.6937,515606.1062,886924.2593,728697.8387,955713.6953,940608.3859,1099016.631,1001864.87,656647.3485,741721.1257,677756.9832,603606.0482,595482.3748,542684.1741,455352.4786,515263.7703,660950.5677,879290.1468,593030.3473,632925.7874,332724.8562,1362994.602,511861.099,479457.5995,433518.0134,672976.0507,1681807.581,1785901.864,6632407.25,1507080.347,2872082.365,3452199.16,576489.9935,1049725.399,753709.5045,1280837.656,771039.3333,1026801.107,1792125.824,2726384.213,1936529.396,2254879.317,1679311.148,2190729.837,717858.4627,2110922.02,984053.526,902136.2119,1015835.081,713831.8548,1301950.26,950543.8425,1381878.371,1716381.472,726224.3885,1213057.433,790157.6177,552023.2275,716042.7486,489529.1157,580885.6197,715039.7358,1262223.264,892443.2722,1100218.819,942554.4035,777026.1009,1449193.707,2240322.855,771415.5019,1682340.983,871011.0952,1925966.952,1399629.293,1002373.452,2181396.42,1577592.909,2274177.503,2851151.651,1396133.177,1664777.018,1205196.794,1599539.497,1288622.708,1336386.751,830243.6334,145.0491
97.9682@17.191011,1374537.467,900207.0601,1200995.188,975537.1639,1242846.501,834111.3429,1186470.581,1026864.699,1182550.786,1191398.454,1331825.086,1417156.796,966670.4426,1298190.699,1031568.88,974965.2088,1000222.01,867687.4498,706235.1412,805429.7008,919118.1931,1561172.708,895730.7771,969461.9711,520877.1719,1483265.713,713456.2359,706625.9964,635653.2846,910991.131,1878657.878,1888251.988,5910569.227,1664589.909,2578783.389,3015585.372,882117.2243,1507045.777,1052045.222,1577314.43,1133564.156,1333606.779,2398839.46,3180806.486,2118931.899,2597493.201,2138463.667,2276574.068,916663.918,2114724.42,1135197.95,1009657.691,1386517.932,957161.0185,1301401.011,1321944.388,1706766.387,1920968.813,1059213.365,1480133.048,1024607.288,802466.4281,880850.6886,818070.4218,787525.8203,1111020.853,1616434.029,1395071.963,1538835.728,1250032.494,1131791.017,1887614.984,2373011.849,770433.4192,1909815.783,1288488.255,1796178.355,2161551.346,1414608.026,2519995.735,1862824.747,2859629.022,2916884.814,2783109.566,1969407.883,1557812.02,1889784.053,1622611.575,1650839,1195957.439,97.9682
115.0994@1.1780009,5921.625352,2860.211565,4995.490921,5121.842426,4406.87603,1786.230293,3141.122304,2549.445725,4598.060598,4139.823127,4544.11955,3916.509079,3424.710743,3821.800537,4045.862799,3789.159788,2513.968035,3226.319021,1786.978523,2298.829196,3134.853995,2428.271075,2987.283747,2739.881531,1502.083742,5387.688158,2845.525065,2780.24959,1974.809903,2832.490363,5031.955385,4796.992829,14434.11572,4567.818196,6665.742149,9080.145446,2321.149858,2707.086506,3005.672716,4710.719,3217.20109,3749.454537,4048.347103,9443.404964,7355.490925,3400.330576,5378.80386,5199.295317,2823.650148,8199.305797,3580.866662,2465.289809,2715.247931,2828.412122,3473.676024,2961.679343,4007.683192,5110.028113,2131.873287,3112.399457,5011.239677,3934.652885,4879.748748,3345.316808,3460.757585,3696.026447,5112.072741,4190.132229,3830.993942,4513.270509,3796.188443,5251.396136,6747.365844,2041.685944,5109.179072,3070.487044,4270.078797,4643.268325,3761.127262,1287301.113,5002.522304,2645404.523,6589.987884,12961.12728,9908.147125,8011.634148,7958.155377,6555.671614,7316.939932,4942.303013,115.0994
183.0383@17.076015,553910.469,342618.2892,448871.7477,388647.9516,436431.5259,115293.2974,503587.2799,423315.0933,528520.8476,527201.0385,614198.5002,258872.1446,383614.2395,448573.724,412588.4716,357569.5463,356884.7029,333392.9865,284792.6297,308387.5173,411910.2591,566388.928,359813.9064,367394.3318,183732.5895,787819.1345,283863.9754,267063.4141,244362.6429,404869.0971,1016479.269,1056124.854,4397629.596,919925.8772,1766585.038,2164398.448,342453.12,647400.4358,465152.8445,769155.1921,452125.07,626321.9441,1112864.875,1831569.264,1269858.075,1442771.516,1056172.004,1439594.853,403922.3855,1255785.624,557050.8659,477954.5839,578713.8836,407484.5092,815632.3791,575958.447,780002.7983,1094735.598,432354.5802,745385.1396,430413.0188,330979.4759,384510.7759,263543.4014,326054.7342,430444.5357,786772.6082,541835.1269,655281.4258,561431.8075,457903.7251,887756.9454,1381883.442,487742.7203,1066302.944,513293.938,1248306.258,800281.9828,592484.3195,1391364.721,949719.484,1368900.111,1817997.226,797227.9521,919941.7636,656452.1164,901673.7598,704152.9695,740867.0014,489490.2153,183.0383
337.3352@0.9589997,64157.30035,26739.74926,46157.3643,26988.80001,157475.6142,93007.33391,413229.6951,54963.12055,126078.1816,47009.56128,44418.90129,52235.49075,42730.96858,63942.01189,44331.97674,101622.1628,77966.54959,42637.26463,27284.24148,34165.67486,43980.95869,67665.09313,42189.66393,37233.12656,66251.80144,204986.5627,155541.6626,183861.0322,19106.31391,78198.68883,75309.92417,107047.8588,270501.8283,135096.6302,124864.6909,278397.127,50688.12222,55791.68605,64688.81628,55494.56024,50800.46814,424836.49,218309.7105,1712772.621,744410.5272,164673.1172,572640.4924,1483856.833,57387.46522,77271.00177,62220.16355,183999.9131,258995.0823,32829.76971,77311.67362,34194.29756,617733.2199,67099.77373,94010.43012,61063.44643,68185.85796,30536.28093,37228.99164,40857.27773,50677.54559,65628.562,336045.1161,773843.2161,283117.0454,109353.722,47783.71477,113862.0153,140092.5632,219742.1481,101862.5015,157070.1241,67353.28885,60734.30421,48785.50895,123643.0366,92957.45435,21940.28372,112110.3637,125806.9334,491691.0703,259849.1528,516486.2157,105590.0979,138001.9259,39642.72823,337.3352
185.9883@13.142002,780003.0313,506432.1076,695411.7461,539442.9093,602650.6883,391829.2826,645579.1097,501417.2331,690558.5442,664368.9802,769407.1759,720496.2887,564536.9502,590402.6734,560430.491,491571.2408,493122.9603,474507.1209,362449.7277,402479.5749,504307.6586,809973.0868,439555.5263,522648.9157,275096.8625,928690.0409,410241.184,334779.4665,319850.8407,514942.4581,1228970.259,1203791.56,4429408.184,1225491.751,1820226.838,1998556.739,446973.3441,879707.1194,574026.5283,936961.4711,572485.7087,793844.4165,1886434.089,2223231.611,1435234.621,2028565.301,1457060.074,1722708.271,520570.7485,1284395.867,661353.9567,618434.119,792110.5776,514741.7214,886323.8092,713485.4687,944082.7155,1192369.092,547039.3134,879627.7157,645306.044,484606.8558,625444.8248,365934.3133,495969.4619,583923.9407,971751.7359,677039.8442,729930.2551,728659.402,538718.1496,967416.0968,1659568.779,531690.8414,1165496.773,632262.7035,1394229.617,1195831.511,813839.3856,1725924.087,1122376.589,1857463.831,2452122.838,1070805.286,1079602.615,810173.8473,1009907.057,821101.7726,885163.8056,589799.4734,185.9883
