"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"2'-deoxyribonucleotide metabolism"	""	"central intermediary metabolism"	""	""	""	""
"35kd_ag"	"conserved 35 kDa alanine rich protein"	"UNCLASSIFIED"	""	""	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	""
"aac"	"aminoglycoside 2'-N-acetyltransferase"	"UNCLASSIFIED"	""	"response to antibiotic" // "aminoglycoside antibiotic catabolic process"	"plasma membrane"	"aminoglycoside 2'-N-acetyltransferase activity" // "aminoglycoside N-acetyltransferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "N-acetyltransferase activity"
"aao"	"probable D-amino acid oxidase"	"UNCLASSIFIED"	""	"oxidation-reduction process" // "D-amino acid metabolic process"	""	"cofactor binding" // "FAD binding" // "oxidoreductase activity" // "D-amino-acid oxidase activity"
"accA1"	G185E-6737-MONOMER	"UNCLASSIFIED"	"propanoyl CoA degradation I" // "biotin-carboxyl carrier protein assembly"	"metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"cytosol" // "plasma membrane"	"metal ion binding" // "ligase activity" // "ATP binding" // "biotin carboxylase activity" // "catalytic activity" // "nucleotide binding"
"accA2"	"probable acetyl-/propionyl-coenzyme A carboxylase alpha chain (alpha subunit) AccA2: biotin carboxylase + biotin carboxyl carrier protein (BCCP)"	"UNCLASSIFIED"	"propanoyl CoA degradation I" // "superpathway of mycolate biosynthesis" // "biotin-carboxyl carrier protein assembly" // "fatty acid biosynthesis initiation I"	"growth"	"cytosol" // "plasma membrane"	"nucleotide binding" // "metal ion binding" // "ATP binding" // "biotin carboxylase activity" // "catalytic activity"
"accA3"	"acetyl/propionyl-CoA carboxylase &alpha; chain"	"UNCLASSIFIED"	"superpathway of mycolate biosynthesis" // "biotin-carboxyl carrier protein assembly" // "fatty acid biosynthesis initiation I"	"growth" // "carbon fixation"	"cytosol" // "acetyl-CoA carboxylase complex" // "plasma membrane" // "cell wall"	"nucleotide binding" // "metal ion binding" // "ATP binding" // "protein binding" // "propionyl-CoA carboxylase activity" // "biotin carboxylase activity" // "acetyl-CoA carboxylase activity" // "catalytic activity"
"accD1"	"probable acetyl-/propionyl-CoA carboxylase (beta subunit)"	"UNCLASSIFIED"	"propanoyl CoA degradation I" // "biotin-carboxyl carrier protein assembly" // "fatty acid biosynthesis initiation I" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"leucine catabolic process"	"methylcrotonoyl-CoA carboxylase complex" // "cytosol"	"ligase activity"
"accD2"	"probable acetyl-/propionyl-CoA carboxylase (beta subunit)"	"UNCLASSIFIED"	"propanoyl CoA degradation I" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"leucine catabolic process" // "mycolic acid biosynthetic process"	"methylcrotonoyl-CoA carboxylase complex" // "cytosol"	"ligase activity"
"accD3"	"putative acetyl-coenzyme A carboxylase carboxyl transferase (subunit beta)"	"UNCLASSIFIED"	"superpathway of mycolate biosynthesis" // "biotin-carboxyl carrier protein assembly" // "fatty acid biosynthesis initiation I"	"mycolic acid biosynthetic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"acetyl-CoA carboxylase complex" // "plasma membrane"	"ligase activity" // "ATP binding" // "protein binding" // "acetyl-CoA carboxylase activity" // "nucleotide binding"
"accD4"	"propionyl-CoA carboxylase beta chain 4"	"metabolism"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"fatty acid catabolic process" // "mycolate cell wall layer assembly" // "growth" // "carbon fixation"	"cytosol" // "acetyl-CoA carboxylase complex" // "plasma membrane" // "cell wall"	"CoA carboxylase activity" // "ligase activity" // "protein binding" // "propionyl-CoA carboxylase activity" // "acetyl-CoA carboxylase activity"
"accD5"	"propionyl-coa carboxylase beta chain 5"	"metabolism"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"fatty acid catabolic process" // "carbon fixation"	"cytosol" // "protein-containing complex" // "acetyl-CoA carboxylase complex" // "plasma membrane" // "cell wall"	"identical protein binding" // "ligase activity" // "ATP binding" // "protein binding" // "propionyl-CoA carboxylase activity" // "acetyl-CoA carboxylase activity" // "nucleotide binding"
