Refseq_ID	Mycobrowser_Version	Feature	Start	Stop	Score	Strand	Frame	Locus	Name	Function	Product	Comments	UniProt_AC	Is_Pseudogene	Functional_Category	Orthologues M. leprae	Orthologues M. marinum	Orthologues M. tuberculosis	Orthologues M. bovis	Orthologues M. lepromatosis	Orthologues M. tuberculosis	Orthologues M. abscessus	Orthologues M. haemophilum
NC_008596.1	Mycobrowser_v3	CDS	141740	141850	.	-	0	MSMEG_0119	MSMEG_0119		conserved hypothetical protein		A0QNP7	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	444662	444796	.	+	0	MSMEG_0395	MSMEG_0395		hypothetical protein	identified by Glimmer2; putative	A0QPH0	No	unknown								
NC_008596.1	Mycobrowser_v3	tRNA	6393822	6393912	.	-	0	MSMEG_6326	MSMEG_6326		tRNA-Ser			No	stable RNAs								
NC_008596.1	Mycobrowser_v3	tRNA	4992841	4992927	.	-	0	MSMEG_4897	MSMEG_4897		tRNA-Leu			No	stable RNAs								
NC_008596.1	Mycobrowser_v3	CDS	4999233	5000252	.	-	0	MSMEG_4908	MSMEG_4908		endo-type 6-aminohexanoate oligomer hydrolase	identified by match to protein family HMM PF03576	A0R1X5	No	unknown			Rv1333			Rv1333		
NC_008596.1	Mycobrowser_v3	CDS	5000259	5000837	.	-	0	MSMEG_4909	MSMEG_4909		conserved hypothetical protein		A0R1X6	No	unknown			Rv1332			Rv1332		
NC_008596.1	Mycobrowser_v3	CDS	5000844	5001146	.	-	0	MSMEG_4910	MSMEG_4910		ATP-dependent Clp protease adaptor protein ClpS	identified by match to protein family HMM PF02617	A0R1X7	No	unknown			Rv1331			Rv1331		
NC_008596.1	Mycobrowser_v3	CDS	5001213	5002517	.	+	0	MSMEG_4911	pncB		putative nicotinate phosphoribosyltransferase	identified by match to protein family HMM PF04095; match to protein family HMM TIGR01513	A0R1X8	No	unknown			Rv1330c			Rv1330c		
NC_008596.1	Mycobrowser_v3	CDS	5002521	5004572	.	+	0	MSMEG_4912	MSMEG_4912		putative helicase		A0R1X9	No	unknown			Rv1329c			Rv1329c		
NC_008596.1	Mycobrowser_v3	CDS	5004664	5006106	.	+	0	MSMEG_4913	MSMEG_4913		LpqM protein		A0R1Y0	No	unknown			Rv0419			Rv0419		
NC_008596.1	Mycobrowser_v3	CDS	5006124	5006972	.	-	0	MSMEG_4914	MSMEG_4914		virginiamycin B hydrolase		A0R1Y1	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	5006969	5009569	.	-	0	MSMEG_4915	MSMEG_4915		alpha-glucan phosphorylase family protein	identified by match to protein family HMM PF00343; match to protein family HMM TIGR02094	A0R1Y2	No	unknown			Rv1328			Rv1328		
NC_008596.1	Mycobrowser_v3	CDS	5009741	5011819	.	+	0	MSMEG_4916	MSMEG_4916		alpha-amylase family protein	identified by match to protein family HMM PF00128	Q9RP48	No	unknown			Rv1327c			Rv1327c		
NC_008596.1	Mycobrowser_v3	CDS	5032225	5032590	.	-	0	MSMEG_4935	atpC		ATP synthase F1, epsilon subunit	identified by match to protein family HMM PF02823; match to protein family HMM TIGR01216	A0R1Z9	No	unknown			Rv1311			Rv1311		
NC_008596.1	Mycobrowser_v3	CDS	5385097	5385258	.	+	0	MSMEG_5294	MSMEG_5294		hypothetical protein	identified by Glimmer2; putative	A0R302	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	5011827	5014037	.	+	0	MSMEG_4918	glgB		1,4-alpha-glucan branching enzyme	identified by match to protein family HMM PF00128; match to protein family HMM PF02922; match to protein family HMM TIGR01515	A0R1Y4	No	unknown			Rv1326c			Rv1326c		
NC_008596.1	Mycobrowser_v3	CDS	1163456	1163758	.	-	0	MSMEG_1099	MSMEG_1099		hypothetical protein	identified by Glimmer2; putative	A0QRF6	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	2027614	2027757	.	+	0	MSMEG_1949	MSMEG_1949		hypothetical protein	identified by Glimmer2; putative	A0QTS7	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	1890327	1890539	.	+	0	MSMEG_1814	MSMEG_1814		hypothetical protein	identified by Glimmer2; putative	A0QTE8	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	5938421	5938591	.	-	0	MSMEG_5875	MSMEG_5875		hypothetical protein	identified by Glimmer2; putative	A0R4L4	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	2751582	2751917	.	-	0	MSMEG_2673	MSMEG_2673			similar at the nucleotide level to IS1137 in the IS Finder database. This gene is disrupted by an IS element.; IS1137, transposase orfB, interruption-C		Yes	unknown								
NC_008596.1	Mycobrowser_v3	CDS	2753235	2753993	.	-	0	MSMEG_2674	MSMEG_2674			similar at the nucleotide level to IS1137 in the IS Finder database. This gene is disrupted by an IS element.; IS1137, transposase orfB, interruption-N		Yes	unknown								
NC_008596.1	Mycobrowser_v3	tRNA	4797480	4797552	.	+	0	MSMEG_4706	MSMEG_4706		tRNA-Arg			No	unknown								
NC_008596.1	Mycobrowser_v3	tRNA	4817832	4817907	.	+	0	MSMEG_4725	MSMEG_4725		tRNA-His			No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	5064154	5065035	.	-	0	MSMEG_4967	MSMEG_4967		conserved hypothetical protein	identified by match to protein family HMM PF00296	A0R230	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	5065204	5066415	.	+	0	MSMEG_4968	MSMEG_4968		two-component system sensor kinase	identified by match to protein family HMM PF02518; match to protein family HMM PF07730	A0R231	No	unknown								
NC_008596.1	Mycobrowser_v3	CDS	5066403	5067047	.	+	0	MSMEG_4969	MSMEG_4969		two-component system response regulator	identified by match to protein family HMM PF00072; match to protein family HMM PF00196; match to protein family HMM PF04545	A0R232	No	unknown								
