#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_008596.1	499	1692	+	4535615	dnaN	MSMEG_0001	YP_884424.1	397	-	DNA polymerase III subunit beta
chr	NC_008596.1	1721	2614	+	4536178	-	MSMEG_0002	YP_884425.1	297	-	6-phosphogluconate dehydrogenase
chr	NC_008596.1	2624	3778	+	4532650	recF	MSMEG_0003	YP_884426.1	384	-	recombination protein F
chr	NC_008596.1	3775	4359	+	4537198	-	MSMEG_0004	YP_884427.1	194	-	hypothetical protein MSMEG_0004
chr	NC_008596.1	4591	6618	+	4531510	gyrB	MSMEG_0005	YP_884428.1	675	-	DNA gyrase subunit B
chr	NC_008596.1	6648	9176	+	4535988	gyrA	MSMEG_0006	YP_884429.1	842	-	DNA gyrase subunit A
chr	NC_008596.1	9229	10011	+	4533293	-	MSMEG_0007	YP_884430.1	260	-	hypothetical protein MSMEG_0007
chr	NC_008596.1	10184	10276	+	4535541	-	MSMEG_0009	YP_884431.1	30	-	hypothetical protein MSMEG_0009
chr	NC_008596.1	10411	11211	+	4531499	-	MSMEG_0011	YP_884432.1	266	-	hypothetical protein MSMEG_0011
chr	NC_008596.1	11215	12246	+	4531265	-	MSMEG_0012	YP_884433.1	343	-	ferric enterobactin transporter permease FepD
chr	NC_008596.1	13310	14140	+	4532202	-	MSMEG_0015	YP_884434.1	276	-	ferric enterobactin transport ATP-binding protein FepC
chr	NC_008596.1	14130	15098	-	4532530	-	MSMEG_0014	YP_884435.1	322	-	Formyl transferase
chr	NC_008596.1	15256	15522	+	4537603	-	MSMEG_0016	YP_884436.1	88	-	hypothetical protein MSMEG_0016
chr	NC_008596.1	15525	17252	+	4531597	-	MSMEG_0017	YP_884437.1	575	-	ABC transporter permease
chr	NC_008596.1	17249	19018	+	4534027	-	MSMEG_0018	YP_884438.1	589	-	ABC transporter permease
chr	NC_008596.1	19052	41623	+	4533906	-	MSMEG_0019	YP_884439.1	7523	-	amino acid adenylation protein
chr	NC_008596.1	41689	42636	-	4537245	-	MSMEG_0020	YP_884440.1	315	-	periplasmic binding protein
chr	NC_008596.1	42944	43354	+	4531073	panD	MSMEG_0021	YP_884441.1	136	-	aspartate alpha-decarboxylase
chr	NC_008596.1	43366	44688	+	4534987	-	MSMEG_0022	YP_884442.1	440	-	L-ornithine 5-monooxygenase
chr	NC_008596.1	44692	45102	-	4531759	-	MSMEG_0023	YP_884443.1	136	-	hypothetical protein MSMEG_0023
chr	NC_008596.1	45223	45750	+	4535580	-	MSMEG_0024	YP_884444.1	175	-	peptidyl-prolyl cis-trans isomerase B
chr	NC_008596.1	45854	46261	-	4536577	-	MSMEG_0025	YP_884445.1	135	-	hypothetical protein MSMEG_0025
chr	NC_008596.1	46417	46701	-	4537226	-	MSMEG_0026	YP_884446.1	94	-	septation inhibitor protein
chr	NC_008596.1	46797	47546	+	4535791	-	MSMEG_0027	YP_884447.1	249	-	hypothetical protein MSMEG_0027
chr	NC_008596.1	47564	48238	+	4532866	-	MSMEG_0029	YP_884448.1	224	-	para-aminobenzoate synthase component II
chr	NC_008596.1	48216	50093	-	4536298	-	MSMEG_0028	YP_884449.1	625	-	serine-threonine protein kinase
chr	NC_008596.1	50090	51349	-	4531207	pknA	MSMEG_0030	YP_884450.1	419	-	serine/threonine protein kinase
chr	NC_008596.1	51381	52856	-	4530882	-	MSMEG_0031	YP_884451.1	491	-	penicillin binding protein transpeptidase domain-containing protein
chr	NC_008596.1	52853	54268	-	4533758	-	MSMEG_0032	YP_884452.1	471	-	cell cycle protein, FtsW/RodA/SpoVE family protein
